İstasyon No,İstasyon Adı,Hizmet Şekli,Marka,Şarj Ağı İşletmecisi,Şarj İstasyonu İşletmecisi,Adres,Soket Bilgileri,Detaylı Soket Bilgisi (kW/Tip)
ŞRJ/1518,Karinna Gümbet,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Gümbet Mahallesi 1532. Sokağı No:1 Bodrum / MUĞLA,,Buton yok veya okunamadı
ŞRJ/1519,Kefaluka Resort Hotel,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Akyarlar Mahallesi Barış Manço Caddesi No:63 /A Bodrum / MUĞLA,,Buton yok veya okunamadı
ŞRJ/1523,Nasrettin Hoca Dinlenme Tesisleri,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Nasrettin Hoca Mahallesi Atatürk Sokağı No:114 /A Sivrihisar / ESKİŞEHİR,,Buton yok veya okunamadı
ŞRJ/1524,Rota Parking,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Koltan Mahallesi Koltan Sokağı No:54 Sivrihisar / ESKİŞEHİR,,Buton yok veya okunamadı
ŞRJ/1526,Marmaris Hotel Aqua,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,İçmeler Mahallesi Cumhuriyet Caddesi Sahil Sokağı No:27 Marmaris / MUĞLA,,Buton yok veya okunamadı
ŞRJ/1527,Marmaris Siteler Migros,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Siteler Mahallesi No:66 Marmaris / MUĞLA,,Buton yok veya okunamadı
ŞRJ/1528,Maya Otel Muğla,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Tepecik Mahallesi Grence Sokağı No:32 Bodrum / MUĞLA,,Buton yok veya okunamadı
ŞRJ/1536,Mirage Family Club Hotel Muğla,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Dimril Mahallesi Tilkicik Caddesi No:50 Bodrum / MUĞLA,,Buton yok veya okunamadı
ŞRJ/1539,Paşalı Bosch Araç Servisi Muğla,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Konakçık Mahallesi No:230 Bodrum / MUĞLA,,Buton yok veya okunamadı
ŞRJ/1541,Rammos Otel Bodrum,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Turgutreis Mahallesi 4031. Sokağı No:1 Bodrum / MUĞLA,,Buton yok veya okunamadı
